,precision,recall,f1-score,support
A+,0.8777777777777778,0.9294117647058824,0.9028571428571428,85.0
A-,0.8954248366013072,0.9072847682119205,0.9013157894736842,151.0
AB+,0.9150943396226415,0.9150943396226415,0.9150943396226415,106.0
AB-,0.9099099099099099,0.8859649122807017,0.8977777777777778,114.0
B+,0.9052631578947369,0.8775510204081632,0.8911917098445595,98.0
B-,0.9130434782608695,0.9459459459459459,0.9292035398230089,111.0
O+,0.8796992481203008,0.9140625,0.896551724137931,128.0
O-,0.8969072164948454,0.8130841121495327,0.8529411764705882,107.0
accuracy,0.8988888888888888,0.8988888888888888,0.8988888888888888,0.8988888888888888
macro avg,0.8991399955852986,0.8985499204155984,0.8983666500009168,900.0
weighted avg,0.8990935362806955,0.8988888888888888,0.8985443500857544,900.0
