,precision,recall,f1-score,support
A+,0.8709677419354839,0.9529411764705882,0.9101123595505618,85.0
A-,0.9090909090909091,0.9271523178807947,0.9180327868852459,151.0
AB+,0.8672566371681416,0.9245283018867925,0.8949771689497716,106.0
AB-,0.9629629629629629,0.9122807017543859,0.9369369369369369,114.0
B+,0.925531914893617,0.8877551020408163,0.90625,98.0
B-,0.9636363636363636,0.954954954954955,0.9592760180995475,111.0
O+,0.8920863309352518,0.96875,0.9288389513108615,128.0
O-,0.9101123595505618,0.7570093457943925,0.826530612244898,107.0
accuracy,0.9122222222222223,0.9122222222222223,0.9122222222222223,0.9122222222222223
macro avg,0.9127056525216615,0.9106714875978406,0.9101193542472279,900.0
weighted avg,0.9136075594551971,0.9122222222222223,0.9114257682088897,900.0
