,precision,recall,f1-score,support
A+,0.5384615384615384,0.49411764705882355,0.5153374233128835,85.0
A-,0.4115384615384615,0.7086092715231788,0.5206812652068127,151.0
AB+,0.5280898876404494,0.44339622641509435,0.48205128205128206,106.0
AB-,0.4473684210526316,0.5964912280701754,0.5112781954887218,114.0
B+,0.29473684210526313,0.2857142857142857,0.29015544041450775,98.0
B-,0.4580152671755725,0.5405405405405406,0.49586776859504134,111.0
O+,0.35,0.21875,0.2692307692307692,128.0
O-,0.4,0.056074766355140186,0.09836065573770492,107.0
accuracy,0.4288888888888889,0.4288888888888889,0.4288888888888889,0.4288888888888889
macro avg,0.4285263022467396,0.4179617457096548,0.3978703500047154,900.0
weighted avg,0.4246810797047004,0.4288888888888889,0.40030265145679805,900.0
